"QR-Code:Pearl Jam - Ten","file","/media/pi/LACIE/music/Storage2/audio/Pearl Jam - Ten (PBTHAL Vinyl Rip 2011)"
"QR-Code:HiddenOrchestra-Archipelago","spotify","spotify:album:05EKAh2enH4uuFwDmVcbKG"
"QR-Code:SpotifyPlaylistNiceBackground","spotify","spotify:user:1166479376:playlist:66zKNkLSHk70UnLwPthV4o"
"QR-Code:Ambrosia - Ambrosia","spotify","spotify:album:4WLSlSsZR6RZSaZm2ZB1WI"
"QR-Code:Polvo - Cor-Crane Secret","spotify","spotify:album:2O987wVV0ZkwNrpHWA1wWK"
"QR-Code:Polvo - TodayActiveLifestyles","spotify","spotify:album:4aOKzYTg9NibQFDnAYo1j0"
"QR-Code:Polvo - Exploded Drawing","spotify","spotify:album:0bnW4EgJ7CFkEQf0Hq1xse"
"QR-Code:Polvo - Shapes","spotify","spotify:album:6MB6ldptSd2f82kmOhtL2p"
"QR-Code:Polvo - Siberia","spotify","spotify:album:2obaFAoT1S2NnmTut0i04B"
"QR-Code:Pearl Jam - Yield","spotify","spotify:album:2fj4j3BX7th7Qqj6ow9WI9"
"QR-Code:Pearl Jam - Binaural","spotify","spotify:album:1RuYprt6Qlqu286h1f4dzZ"
"QR-Code:Tom Waits - HeartattackVine","spotify","spotify:album:7lCEnPYYkUuvnkrCbA6RCa"
"QR-Code:Tom Waits - SwordfishTrombones","spotify","spotify:album:1JXGJdo7Go4D2fipqXwt4q"
